iter	Passed	Remaining
812	4105	944
813	4110	939
814	4114	933
815	4118	928
816	4122	923
817	4128	918
818	4132	913
819	4136	908
820	4141	903
821	4146	897
822	4151	892
823	4156	887
824	4161	882
825	4166	877
826	4170	872
827	4175	867
828	4180	862
829	4185	857
830	4190	852
831	4194	846
832	4198	841
833	4203	836
834	4208	831
835	4213	826
836	4217	821
837	4222	816
838	4226	811
839	4230	805
840	4234	800
841	4240	795
842	4244	790
843	4249	785
844	4254	780
845	4260	775
846	4265	770
847	4270	765
848	4276	760
849	4281	755
850	4286	750
851	4291	745
852	4296	740
853	4301	735
854	4306	730
855	4310	725
856	4313	719
857	4318	714
858	4323	709
859	4327	704
860	4332	699
861	4337	694
862	4341	689
863	4346	684
864	4351	679
865	4356	674
866	4361	669
867	4366	663
868	4370	658
869	4374	653
870	4378	648
871	4384	643
872	4388	638
873	4393	633
874	4397	628
875	4402	623
876	4406	618
877	4410	612
878	4415	607
879	4420	602
880	4425	597
881	4429	592
882	4435	587
883	4439	582
884	4444	577
885	4449	572
886	4454	567
887	4458	562
888	4462	557
889	4468	552
890	4472	547
891	4477	542
892	4483	537
893	4488	532
894	4493	527
895	4499	522
896	4503	517
897	4507	512
898	4512	506
899	4517	501
900	4521	496
901	4526	491
902	4531	486
903	4535	481
904	4540	476
905	4545	471
906	4550	466
907	4555	461
908	4560	456
909	4566	451
910	4571	446
911	4575	441
912	4581	436
913	4586	431
914	4591	426
915	4597	421
916	4601	416
917	4605	411
918	4609	406
919	4614	401
920	4618	396
921	4622	391
922	4627	386
923	4631	380
924	4635	375
925	4641	370
926	4647	365
927	4652	360
928	4657	355
929	4662	350
930	4667	345
931	4672	340
932	4677	335
933	4681	330
934	4685	325
935	4690	320
936	4695	315
937	4699	310
938	4704	305
939	4712	300
940	4717	295
941	4721	290
942	4725	285
943	4730	280
944	4734	275
945	4739	270
946	4743	265
947	4748	260
948	4752	255
949	4757	250
950	4761	245
951	4766	240
952	4770	235
953	4775	230
954	4781	225
955	4786	220
956	4794	215
957	4799	210
958	4803	205
959	4808	200
960	4813	195
961	4817	190
962	4822	185
963	4826	180
964	4831	175
965	4835	170
966	4840	165
967	4844	160
968	4848	155
969	4853	150
970	4858	145
971	4863	140
972	4867	135
973	4872	130
974	4877	125
975	4881	120
976	4887	115
977	4891	110
978	4896	105
979	4901	100
980	4906	95
981	4912	90
982	4916	85
983	4921	80
984	4925	75
985	4929	69
986	4935	65
987	4939	59
988	4944	54
989	4949	49
990	4955	45
991	4960	40
992	4964	34
993	4969	29
994	4973	24
995	4978	19
996	4982	14
997	4988	9
998	4993	4
999	4997	0
